RANKING|USUARIO|PROPIETARIO|MILLONES DE SEGUIDORES|OCUPACION
1,@instagram,Instagram,432,Plataforma de redes sociales
2,@cristiano,Cristiano Ronaldo,355,Futbolista
3,@kyliejenner,Kylie Jenner,275,Personalidad televisiva y empresaria
4,@therock,Dwayne Johnson,274,Actor y luchador profesional
5,@leomessi,Lionel Messi,274,Futbolista
6,@arianagrande,Ariana Grande,271,Cantante y actriz
7,@selenagomez,Selena Gomez,267,Cantante y actriz
8,@kimkardashian,Kim Kardashian,258,Personalidad televisiva y empresaria
9,@beyonce,Beyoncé,213,Cantante
10,@justinbieber,Justin Bieber,200,Cantante
11,@kendalljenner,Kendall Jenner,194,Personalidad televisiva y Modelo
12,@khloekardashian,Khloé Kardashian,189,Personalidad televisiva y empresaria
13,@natgeo,National Geographic,188,Revista
14,@taylorswift,Taylor Swift,181,Cantante
15,@jlo,Jennifer Lopez,180,Cantante y actriz
16,@nike,Nike,177,Empresa multinacional de ropa deportiva
17,@neymarjr,Neymar,162,Futbolista
18,@nickiminaj,Nicki Minaj,160,Rapera
19,@virat.kohli,Virat Kohli,160,Jugador de cricket
20,@mileycyrus,Miley Cyrus,149,Cantante y actriz
21,@kourtneykardash,Kourtney Kardashian,146,Personalidad televisiva
22,@katyperry,Katy Perry,138,Cantante
23,@kevinhart4real,Kevin Hart,126,Actor y comediante
24,@ddlovato,Demi Lovato,117,Cantante y actriz
25,@iamcardib,Cardi B,112,Rapera
26,@zendaya,Zendaya,109,Actriz cantante y modelo
27,@badgalriri,Rihanna,109,Cantante y empresaria
28,@theellenshow,Ellen DeGeneres,108,Comediante
29,@realmadrid,Real Madrid C. F.,104,Club de fútbol
30,@fcbarcelona,FC Barcelona,101,Club de fútbol
31,@kingjames,LeBron James,100,Jugador de baloncesto
32,@chrisbrownofficial,Chris Brown,94.5,Cantante
33,@champagnepapi,Drake,94.4,Cantante
34,@billieeilish,Billie Eilish,93.7,Cantante
35,@championsleague,UEFA Champions League,81.1,Torneo de fútbol
36,@vindiesel,Vin Diesel,75,Actor
37,@dualipa,Dua Lipa,73.5,Cantante
38,@shakira,Shakira,70.8,Cantante
39,@gigihadid,Gigi Hadid,70.5,Modelo
40,@victoriassecret,Victoria's Secret,70.4,Marca de lencería
41,@nasa,NASA,70.4,Agencia espacial
42,@priyankachopra,Priyanka Chopra,69.1,Actriz y cantante
43,@davidbeckham,David Beckham,69,Futbolista
44,@shraddhakapoor,Shraddha kapoor,66.5,Actriz y cantante
45,@Snoopdogg,Snoop Dogg,65.3,Cantante
46,@gal_gadot,Gal Gadot,64.7,Actriz
47,@shawnmendes,Shawn Mendes,64.1,Cantante
48,@nehakakkar,Neha Kakkar,63.6,Cantante
49,@lalalalisa_m,Lalisa Manoban,63,Cantante
50,@justintimberlake,Justin Timberlake,62,Cantante y actor
,,,,
